news_headline,news_article,news_category
Girls called 'Alexa' change names after being bullied in UK; parents blame Amazon,"In an interview, parents of girls named 'Alexa' in UK have called on Amazon to change the default name of its virtual assistant, claiming their children are being bullied. Some parents said they changed their daughters' names. One of them said they even changed their daughter's school, adding, ""She started to not want to introduce herself because of the jokes.""",world
False: Govt on reports of EAM Jaishankar meeting Taliban leaders,"Reacting to reports of External Affairs Minister S Jaishankar meeting Taliban leaders during his stopover in Doha, the MEA spokesperson Arindam Bagchi said such claims are ""false and mischievous"". Bagchi added, ""We have seen some media reports based on a tweet by some journalists about meeting with Taliban by the External Affairs Minister...Let me categorically deny such claims.""",world
Fire resembling molten lava caused on ocean surface in Mexico due to gas leakage,"A fire was caused on ocean surface west of Mexico's Yucatan peninsula on Friday due to gas leakage from an underwater pipeline. Social media users said that the bright orange flame resembled molten lava and called it ""eye of fire"". The fire took more than five hours to extinguish, state oil company Pemex said.",world
Model kidnapped by 'terrorists' attempts suicide in Yemen; kid saw her face turn blue,"A 19-year-old model, who was kidnapped by Iran-backed Houthi rebels in Yemen, has attempted suicide. Entisar Al Hammadi is being held in a jail by rebels, who were described as ""terrorists"" by a minister. ""A child accompanying his imprisoned mother saw her face turning blue after she tried to hang herself. He...told everyone,"" Gulf Centre for Human Rights said.",world
"Lightning strikes jeep carrying family of 5 on US highway, video goes viral","A video of a bolt of lightning striking a jeep carrying a family of five on a highway in the US has gone viral. As per reports, the five passengers, including a three-year-old, a one-and-a-half-year-old, and an eight-month-old, were unhurt but shaken up due to the incident. ""Jeep was dead and stuck in gear,"" an eyewitness said.",world
Fire clouds spark more than 7.1 lakh lightning events in Canada in 15 hours,"Severe wildfires engulfed parts of Canada and generated fire clouds that sparked more than 7.1 lakh lightning events within 15 hours. Of these lightning events, 112,803 were cloud-to-ground lightning bolts, while 597,314 were in-cloud pulses, meaning the strikes didn't hit the ground. The heatwave in Canada has caused more than 700 deaths so far.",world
Boeing 737 cargo plane with 2 on board makes emergency landing in ocean in Hawaii ,"A Boeing 737 cargo airplane with two people on board made an emergency night-time landing in the Pacific Ocean off the coast of Honolulu, Hawaii, early on Friday, the US Federal Aviation Administration (FAA) said. The FAA said the US Coast Guard rescued both crew members citing preliminary information. ""The pilots had reported engine trouble,"" the FAA stated.",world
Sudden deaths rise to 719 amid record-breaking heatwave in Canada,"The number of sudden deaths has risen to 719 amid record-breaking heatwave in Canada. ""We are releasing this information as it is believed likely the extreme weather British Columbia has experienced in the past week is a significant contributing factor to the increased number of deaths,"" officials said. Lytton village in British Columbia saw record 49.6°C temperature.",world
Delta COVID-19 variant gaining ground in Italy: Health Institute,"The Delta variant of coronavirus, which was first detected in India, is gaining ground in Italy and accounts for some 22.7% of cases as of June 22, the National Health Institute (ISS) said on Friday. ""In Italy, where the vaccination campaign has not yet achieved sufficient coverage, the spread of more transmissible variants may have a significant impact,"" it added.",world
Canadian PM Trudeau gets Moderna vaccine after 1st AstraZeneca dose,"Canadian PM Justin Trudeau has received Moderna's coronavirus vaccine as his second dose after taking Oxford-AstraZeneca vaccine as his first shot. In June, Canada's National Advisory Committee on Immunization had recommended that people who got first dose of Oxford-AstraZeneca vaccine follow it up with a second dose of either Moderna or Pfizer. Trudeau had received his first dose in April.",world
Won't hand over presidency if there is election fraud: Brazil Prez,"Brazilian President Jair Bolsonaro on Thursday said that he would hand over power to whoever wins next year's presidential election cleanly, but not if there is any fraud. Bolsonaro has called for use of printed ballots rather than computer voting. He also said that he's ""alerting"" people about the possibility of problems if the current electronic system remains in place.",world
Russia reports record COVID-19 deaths for fourth straight day,"Russia on Friday reported its highest one-day rise in coronavirus deaths at 679, making it the fourth straight day that the country has reported a record number of fatalities, according to government data. Russia is fighting a surge in COVID-19 cases due to the Delta variant, which was first detected in India. Russia has reported over 1.33 lakh COVID-19 deaths.",world
Iraqis protest in Baghdad over power cuts as temperature exceeds 50°C,"Hundreds of Iraqis on Friday protested in Baghdad over power and water cuts as temperatures exceeded 50°C in some parts of the country. Power went out completely across most of Iraq's provinces before dawn, residents said. ""It's just getting worse. We can take power cuts, even 10 hours of cuts a day, but just give us something,"" a resident said.",world
US to complete troop withdrawal from Afghanistan by August-end: WH,"The White House said it expects US to complete withdrawing its troops from Afghanistan by August-end. US President Joe Biden had set a deadline of September 11 for the final pullout of the troops from Afghanistan, following 20 years of war. ""The President has long felt... that...war in Afghanistan was not one that can be won militarily,"" White House added. ",world
We're not trying to suffocate people of Tigray: Ethiopia,"Ethiopia's government on Friday rejected accusations that it's trying to ""suffocate"" people of Tigray region by denying them urgently needed food and other aid. ""The insinuation that we're...using hunger as a weapon of war is beyond the pale,"" Foreign Minister Demeke Mekonnen said. This comes a day after a bridge that's crucial for accessing much of Tigray region was destroyed. ",world
World’s top pension fund books 'historic' $339 billion gain,"The world's biggest pension fund, Japan's Government Pension Investment Fund, booked a gain on its investments totalling $339 billion or 25% in the 12 months ended March. The gain was the most since the fund started managing the nation's pension reserves in 2001. Interestingly, the MSCI World Index rallied 52% during the fiscal year ended March.",world
Over 60L applied to EU settlement scheme by June 30 deadline: UK,"The UK on Friday said that it had received more than 60 lakh applications to its settlement scheme for EU nationals by June 30 deadline. Over 4 lakh applications were received in the month of June alone, it added. EU citizens had to apply to the EU Settlement Scheme (EUSS) to retain the right to work, study and access benefits. ",world
"US adds Pakistan, 14 others to Child Soldiers Prevention Act list","The US has added Pakistan along with 14 other countries, including Turkey, Afghanistan and Myanmar, to its Child Soldiers Prevention Act (CSPA) list. The designation could result in restrictions on American military assistance. The addition of 15 countries to this year's list is the highest number of countries ever identified in a single year.",world
